Time frequency,Unit of measure,Direction of flow,National accounts indicator (ESA 2010),Geopolitical entity (reporting),Time,Value,Ranking
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2013,18014.49,1650.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2014,18284.41,1637.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,18565.44,1628.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2016,18953.18,1602.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,19489.53,1562.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,20206.89,1514.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,21304.37,1438.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,22096.16,1381.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,22772.49,1339.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,24457.52,1234.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2023,26953.02,1101.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024,27580.43,1070.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2013,32197.92,873.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2014,32863.16,847.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2015,33381.94,825.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2016,33835.99,813.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2017,34707.66,787.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2018,35730.43,764.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2019,37323.03,716.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2020,38379.28,680.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2021,39774.65,649.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2022,43044.71,568.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2023,47414.79,485.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Antwerpen,2024,49092.64,459.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2013,14635.42,1850.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2014,15014.57,1829.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2015,15189.89,1818.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2016,15277.52,1810.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2017,15698.23,1787.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2018,16194.1,1762.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2019,16860.24,1722.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2020,17321.65,1694.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2021,17982.56,1657.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2022,19374.94,1573.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2023,21132.15,1448.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Limburg (BE),2024,21979.74,1394.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2013,27261.73,1089.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2014,27868.37,1060.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2015,28266.17,1040.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2016,28639.92,1016.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2017,29452.34,985.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2018,30381.16,943.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2019,31646.95,896.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2020,32475.4,859.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2021,33746.91,815.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2022,36700.77,737.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2023,40475.97,633.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Oost-Vlaanderen,2024,41695.48,603.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2013,22004.02,1392.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2014,22440.73,1364.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2015,22739.05,1343.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2016,22958.16,1328.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2017,23620.12,1296.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2018,24285.7,1254.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2019,25292.93,1195.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2020,25896.92,1156.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2021,26951.92,1102.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2022,29223.49,994.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2023,32308.69,869.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Vlaams-Brabant,2024,33179.15,831.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2013,21715.42,1416.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2014,22156.18,1376.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2015,22436.54,1365.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2016,22505.03,1359.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2017,23148.15,1320.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2018,23913.44,1277.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2019,24782.62,1215.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2020,25337.26,1191.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2021,26222.86,1139.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2022,28846.82,1002.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2023,31964.35,882.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. West-Vlaanderen,2024,32920.78,841.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2013,7534.86,2412.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2014,7671.15,2399.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2015,7671.85,2398.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2016,7758.46,2392.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2017,7976.76,2379.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2018,8328.32,2352.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2019,8654.38,2327.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2020,8949.68,2306.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2021,9346.54,2275.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2022,9987.9,2224.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2023,10819.97,2166.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Brabant wallon,2024,11156.64,2139.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2013,20370.25,1504.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2014,20536.73,1492.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2015,20564.36,1489.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2016,20685.2,1477.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2017,21237.89,1443.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2018,21808.44,1411.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2019,22677.67,1348.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2020,23476.35,1305.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2021,24034.8,1268.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2022,25670.33,1172.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2023,27607.49,1069.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Hainaut,2024,28500.9,1025.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2013,17203.06,1703.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2014,17468.43,1686.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2015,17580.01,1684.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2016,17778.41,1672.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2017,18193.79,1640.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2018,18666.56,1622.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2019,19454.96,1565.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2020,20044.18,1526.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2021,20698.58,1475.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2022,22166.24,1375.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2023,24012.09,1269.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Liège,2024,24752.82,1217.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2013,4491.08,2648.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2014,4589.9,2643.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2015,4699.02,2639.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2016,4725.39,2637.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2017,4927.93,2631.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2018,5060.05,2628.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2019,5291.71,2616.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2020,5534.4,2601.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2021,5751.19,2586.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2022,6290.02,2515.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2023,6802.32,2469.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Luxembourg (BE),2024,7064.56,2444.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2013,7830.7,2389.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2014,7960.37,2381.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2015,8030.94,2376.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2016,8086.2,2372.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2017,8335.3,2351.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2018,8528.84,2336.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2019,8891.73,2309.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2020,9226.47,2289.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2021,9541.76,2261.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2022,10190.38,2212.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2023,11036.44,2147.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Prov. Namur,2024,11373.43,2124.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2013,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2014,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2015,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2016,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2017,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2018,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2019,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2020,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2021,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2022,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Extra-Regio NUTS 2,2023,0.0,2826.5
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2013,4300.63,2656.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2014,4457.75,2650.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2015,4453.0,2651.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2016,4460.18,2649.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2017,4442.65,2652.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2018,5069.97,2627.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2019,5155.17,2624.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2020,5268.67,2618.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2021,5902.85,2569.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2022,6253.77,2519.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severozapaden,2023,6883.21,2461.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2013,4737.15,2636.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2014,4783.16,2635.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2015,5111.19,2625.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2016,5336.57,2613.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2017,5594.82,2595.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2018,5921.85,2568.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2019,5966.35,2561.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2020,5725.23,2587.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2021,6023.1,2554.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2022,6741.63,2477.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2023,7496.61,2414.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2013,5902.53,2570.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2014,6138.18,2534.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2015,6351.41,2510.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2016,6134.54,2536.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2017,6080.84,2547.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2018,6969.25,2453.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2019,6799.51,2470.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2020,6791.51,2471.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2021,7445.25,2422.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2022,8451.52,2343.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2023,9413.55,2269.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2013,6393.98,2507.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2014,6303.6,2512.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2015,6675.07,2481.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2016,6877.42,2462.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2017,7383.23,2427.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2018,8095.03,2370.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2019,7633.58,2406.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2020,7666.44,2401.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2021,8285.15,2356.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2022,8840.46,2314.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2023,9947.78,2228.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2013,20275.44,1509.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2014,21670.47,1418.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2015,22278.74,1370.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2016,23974.92,1272.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2017,25506.79,1181.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2018,27505.65,1076.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2019,28479.08,1026.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2020,26325.03,1135.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2021,28189.31,1045.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2022,33525.81,820.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2023,38643.86,676.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2013,8489.61,2342.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2014,8889.37,2310.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2015,8972.17,2305.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2016,9516.33,2263.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2017,9657.95,2250.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2018,10665.12,2181.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2019,10733.69,2173.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2020,10112.48,2214.0
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2021,11566.22,2104.0
