Time frequency,Unit of measure,Sex,Geopolitical entity (reporting),Time,Value,Ranking
Annual,Thousand persons,Females,Lithuania,2013,4.2,2640.0
Annual,Thousand persons,Females,Lithuania,2014,3.9,2645.5
Annual,Thousand persons,Females,Lithuania,2015,5.8,2603.0
Annual,Thousand persons,Females,Lithuania,2016,8.6,2508.5
Annual,Thousand persons,Females,Lithuania,2017,9.6,2477.0
Annual,Thousand persons,Females,Lithuania,2018,9.7,2473.5
Annual,Thousand persons,Females,Lithuania,2019,10.2,2457.5
Annual,Thousand persons,Females,Lithuania,2020,10.6,2446.5
Annual,Thousand persons,Females,Lithuania,2021,12.4,2410.5
Annual,Thousand persons,Females,Lithuania,2022,14.2,2345.5
Annual,Thousand persons,Females,Lithuania,2023,14.1,2352.5
Annual,Thousand persons,Females,Lithuania,2024,14.1,2352.5
Annual,Thousand persons,Females,Luxembourg,2004,1.0,2727.0
Annual,Thousand persons,Females,Luxembourg,2005,2.0,2677.5
Annual,Thousand persons,Females,Luxembourg,2006,0.8,2732.0
Annual,Thousand persons,Females,Luxembourg,2007,1.2,2719.5
Annual,Thousand persons,Females,Luxembourg,2008,0.8,2732.0
Annual,Thousand persons,Females,Luxembourg,2009,1.5,2705.5
Annual,Thousand persons,Females,Luxembourg,2010,1.4,2710.0
Annual,Thousand persons,Females,Luxembourg,2011,1.2,2719.5
Annual,Thousand persons,Females,Luxembourg,2012,1.2,2719.5
Annual,Thousand persons,Females,Luxembourg,2013,1.4,2710.0
Annual,Thousand persons,Females,Luxembourg,2014,1.5,2705.5
Annual,Thousand persons,Females,Luxembourg,2015,1.8,2691.0
Annual,Thousand persons,Females,Luxembourg,2016,1.7,2696.0
Annual,Thousand persons,Females,Luxembourg,2017,1.6,2700.5
Annual,Thousand persons,Females,Luxembourg,2018,2.3,2669.0
Annual,Thousand persons,Females,Luxembourg,2019,2.8,2660.0
Annual,Thousand persons,Females,Luxembourg,2020,3.7,2648.0
Annual,Thousand persons,Females,Luxembourg,2021,4.0,2643.5
Annual,Thousand persons,Females,Luxembourg,2022,5.0,2622.5
Annual,Thousand persons,Females,Luxembourg,2023,5.9,2598.0
Annual,Thousand persons,Females,Luxembourg,2024,4.5,2633.0
Annual,Thousand persons,Females,Hungary,2004,66.1,1247.0
Annual,Thousand persons,Females,Hungary,2005,61.5,1280.0
Annual,Thousand persons,Females,Hungary,2006,55.9,1317.5
Annual,Thousand persons,Females,Hungary,2007,55.0,1326.5
Annual,Thousand persons,Females,Hungary,2008,57.7,1306.0
Annual,Thousand persons,Females,Hungary,2009,57.1,1308.0
Annual,Thousand persons,Females,Hungary,2010,61.9,1276.0
Annual,Thousand persons,Females,Hungary,2011,9.7,2473.5
Annual,Thousand persons,Females,Hungary,2012,13.4,2384.0
Annual,Thousand persons,Females,Hungary,2013,14.3,2338.5
Annual,Thousand persons,Females,Hungary,2014,16.8,2201.0
Annual,Thousand persons,Females,Hungary,2015,18.5,2097.0
Annual,Thousand persons,Females,Hungary,2016,20.9,1930.0
Annual,Thousand persons,Females,Hungary,2017,14.3,2338.5
Annual,Thousand persons,Females,Hungary,2018,14.1,2352.5
Annual,Thousand persons,Females,Hungary,2019,16.0,2253.5
Annual,Thousand persons,Females,Hungary,2020,20.4,1964.0
Annual,Thousand persons,Females,Hungary,2021,24.6,1731.5
Annual,Thousand persons,Females,Hungary,2022,25.9,1702.0
Annual,Thousand persons,Females,Hungary,2023,30.4,1572.5
Annual,Thousand persons,Females,Hungary,2024,32.0,1539.5
Annual,Thousand persons,Females,Malta,2005,1.3,2714.0
Annual,Thousand persons,Females,Malta,2006,1.7,2696.0
Annual,Thousand persons,Females,Malta,2007,2.1,2673.0
Annual,Thousand persons,Females,Malta,2008,1.9,2684.0
Annual,Thousand persons,Females,Malta,2009,1.8,2691.0
Annual,Thousand persons,Females,Malta,2010,2.2,2670.0
Annual,Thousand persons,Females,Malta,2011,1.0,2727.0
Annual,Thousand persons,Females,Malta,2012,0.6,2734.0
Annual,Thousand persons,Females,Malta,2013,0.8,2732.0
Annual,Thousand persons,Females,Malta,2014,1.0,2727.0
Annual,Thousand persons,Females,Malta,2015,1.3,2714.0
Annual,Thousand persons,Females,Malta,2016,1.0,2727.0
Annual,Thousand persons,Females,Malta,2017,1.0,2727.0
Annual,Thousand persons,Females,Malta,2018,2.1,2673.0
Annual,Thousand persons,Females,Malta,2019,1.3,2714.0
Annual,Thousand persons,Females,Malta,2020,1.2,2719.5
Annual,Thousand persons,Females,Malta,2021,2.8,2660.0
Annual,Thousand persons,Females,Malta,2022,2.6,2662.5
Annual,Thousand persons,Females,Malta,2023,1.9,2684.0
Annual,Thousand persons,Females,Malta,2024,2.5,2665.0
Annual,Thousand persons,Females,Netherlands,2004,44.7,1406.5
Annual,Thousand persons,Females,Netherlands,2005,42.2,1428.0
Annual,Thousand persons,Females,Netherlands,2006,46.9,1387.5
Annual,Thousand persons,Females,Netherlands,2007,45.9,1394.5
Annual,Thousand persons,Females,Netherlands,2008,49.2,1363.5
Annual,Thousand persons,Females,Netherlands,2009,48.6,1370.5
Annual,Thousand persons,Females,Netherlands,2010,47.8,1378.0
Annual,Thousand persons,Females,Netherlands,2011,48.8,1367.5
Annual,Thousand persons,Females,Netherlands,2012,49.4,1361.5
Annual,Thousand persons,Females,Netherlands,2013,55.4,1323.0
Annual,Thousand persons,Females,Netherlands,2014,52.0,1349.0
Annual,Thousand persons,Females,Netherlands,2015,57.5,1307.0
Annual,Thousand persons,Females,Netherlands,2016,64.3,1261.0
Annual,Thousand persons,Females,Netherlands,2017,70.6,1187.5
Annual,Thousand persons,Females,Netherlands,2018,74.5,1126.0
Annual,Thousand persons,Females,Netherlands,2019,87.2,578.5
Annual,Thousand persons,Females,Netherlands,2020,92.9,519.0
Annual,Thousand persons,Females,Netherlands,2021,108.8,455.0
Annual,Thousand persons,Females,Netherlands,2022,133.1,382.0
Annual,Thousand persons,Females,Netherlands,2023,127.1,397.0
Annual,Thousand persons,Females,Netherlands,2024,128.3,391.0
Annual,Thousand persons,Females,Austria,2004,23.5,1788.0
Annual,Thousand persons,Females,Austria,2005,23.2,1802.0
Annual,Thousand persons,Females,Austria,2006,24.8,1727.5
Annual,Thousand persons,Females,Austria,2007,26.8,1674.0
Annual,Thousand persons,Females,Austria,2008,23.5,1788.0
Annual,Thousand persons,Females,Austria,2009,26.1,1696.0
Annual,Thousand persons,Females,Austria,2010,27.0,1665.5
Annual,Thousand persons,Females,Austria,2011,19.1,2056.5
Annual,Thousand persons,Females,Austria,2012,24.7,1729.5
Annual,Thousand persons,Females,Austria,2013,21.7,1877.5
Annual,Thousand persons,Females,Austria,2014,20.1,1981.5
Annual,Thousand persons,Females,Austria,2015,23.9,1764.5
Annual,Thousand persons,Females,Austria,2016,30.7,1564.0
Annual,Thousand persons,Females,Austria,2017,29.6,1593.0
Annual,Thousand persons,Females,Austria,2018,35.2,1475.5
Annual,Thousand persons,Females,Austria,2019,37.7,1452.0
Annual,Thousand persons,Females,Austria,2020,39.3,1443.5
Annual,Thousand persons,Females,Austria,2021,36.5,1467.5
Annual,Thousand persons,Females,Austria,2022,42.7,1422.0
Annual,Thousand persons,Females,Austria,2023,46.3,1391.5
Annual,Thousand persons,Females,Austria,2024,50.0,1360.0
Annual,Thousand persons,Females,Poland,2004,110.0,451.0
Annual,Thousand persons,Females,Poland,2005,113.4,441.0
Annual,Thousand persons,Females,Poland,2006,128.8,389.0
Annual,Thousand persons,Females,Poland,2007,138.2,366.0
Annual,Thousand persons,Females,Poland,2008,143.8,351.0
Annual,Thousand persons,Females,Poland,2009,151.9,328.0
Annual,Thousand persons,Females,Poland,2010,140.5,362.0
Annual,Thousand persons,Females,Poland,2011,50.5,1357.5
Annual,Thousand persons,Females,Poland,2012,63.4,1267.5
Annual,Thousand persons,Females,Poland,2013,58.1,1300.5
Annual,Thousand persons,Females,Poland,2014,58.2,1298.0
Annual,Thousand persons,Females,Poland,2015,57.9,1304.0
Annual,Thousand persons,Females,Poland,2016,63.2,1269.0
Annual,Thousand persons,Females,Poland,2017,67.1,1236.5
Annual,Thousand persons,Females,Poland,2018,68.0,1220.5
Annual,Thousand persons,Females,Poland,2019,79.1,960.0
Annual,Thousand persons,Females,Poland,2020,90.4,534.0
Annual,Thousand persons,Females,Poland,2021,97.6,507.0
Annual,Thousand persons,Females,Poland,2022,107.9,460.0
Annual,Thousand persons,Females,Poland,2023,142.1,360.0
Annual,Thousand persons,Females,Poland,2024,134.7,377.0
Annual,Thousand persons,Females,Portugal,2004,33.5,1503.5
Annual,Thousand persons,Females,Portugal,2005,29.0,1609.5
Annual,Thousand persons,Females,Portugal,2006,29.9,1584.0
Annual,Thousand persons,Females,Portugal,2007,33.8,1497.0
Annual,Thousand persons,Females,Portugal,2008,27.4,1649.0
Annual,Thousand persons,Females,Portugal,2009,35.5,1473.0
Annual,Thousand persons,Females,Portugal,2010,40.6,1435.5
Annual,Thousand persons,Females,Portugal,2011,16.4,2231.0
Annual,Thousand persons,Females,Portugal,2012,13.7,2369.5
Annual,Thousand persons,Females,Portugal,2013,14.3,2338.5
Annual,Thousand persons,Females,Portugal,2014,20.9,1930.0
Annual,Thousand persons,Females,Portugal,2015,23.9,1764.5
Annual,Thousand persons,Females,Portugal,2016,24.9,1725.0
Annual,Thousand persons,Females,Portugal,2017,24.5,1734.0
Annual,Thousand persons,Females,Portugal,2018,27.0,1665.5
Annual,Thousand persons,Females,Portugal,2019,31.1,1558.0
Annual,Thousand persons,Females,Portugal,2020,38.4,1447.0
Annual,Thousand persons,Females,Portugal,2021,45.0,1402.5
Annual,Thousand persons,Females,Portugal,2022,44.8,1405.0
Annual,Thousand persons,Females,Portugal,2023,46.3,1391.5
Annual,Thousand persons,Females,Portugal,2024,59.6,1291.5
Annual,Thousand persons,Females,Romania,2005,40.1,1438.0
Annual,Thousand persons,Females,Romania,2006,58.1,1300.5
Annual,Thousand persons,Females,Romania,2007,56.9,1309.5
Annual,Thousand persons,Females,Romania,2008,64.8,1257.5
Annual,Thousand persons,Females,Romania,2009,62.2,1275.0
Annual,Thousand persons,Females,Romania,2010,47.8,1378.0
Annual,Thousand persons,Females,Romania,2011,27.2,1656.5
Annual,Thousand persons,Females,Romania,2012,29.7,1590.5
Annual,Thousand persons,Females,Romania,2013,32.2,1535.0
Annual,Thousand persons,Females,Romania,2014,30.1,1580.5
Annual,Thousand persons,Females,Romania,2015,44.0,1417.0
Annual,Thousand persons,Females,Romania,2016,44.1,1414.5
Annual,Thousand persons,Females,Romania,2017,47.7,1380.5
Annual,Thousand persons,Females,Romania,2018,45.1,1400.5
Annual,Thousand persons,Females,Romania,2019,46.4,1389.5
Annual,Thousand persons,Females,Romania,2020,53.2,1338.0
Annual,Thousand persons,Females,Romania,2021,52.8,1341.0
Annual,Thousand persons,Females,Romania,2022,54.3,1331.0
Annual,Thousand persons,Females,Romania,2023,51.3,1354.0
Annual,Thousand persons,Females,Romania,2024,60.7,1285.0
Annual,Thousand persons,Females,Slovenia,2004,9.1,2492.5
Annual,Thousand persons,Females,Slovenia,2005,10.0,2465.0
Annual,Thousand persons,Females,Slovenia,2006,9.2,2487.5
Annual,Thousand persons,Females,Slovenia,2007,8.3,2518.5
Annual,Thousand persons,Females,Slovenia,2008,9.6,2477.0
Annual,Thousand persons,Females,Slovenia,2009,8.8,2503.5
Annual,Thousand persons,Females,Slovenia,2010,9.2,2487.5
Annual,Thousand persons,Females,Slovenia,2011,5.2,2618.5
Annual,Thousand persons,Females,Slovenia,2012,4.4,2636.5
Annual,Thousand persons,Females,Slovenia,2013,3.9,2645.5
Annual,Thousand persons,Females,Slovenia,2014,4.4,2636.5
Annual,Thousand persons,Females,Slovenia,2015,5.3,2616.5
Annual,Thousand persons,Females,Slovenia,2016,5.6,2609.0
Annual,Thousand persons,Females,Slovenia,2017,5.9,2598.0
Annual,Thousand persons,Females,Slovenia,2018,6.5,2578.0
Annual,Thousand persons,Females,Slovenia,2019,7.5,2547.0
Annual,Thousand persons,Females,Slovenia,2020,7.3,2553.0
Annual,Thousand persons,Females,Slovenia,2021,7.7,2540.5
Annual,Thousand persons,Females,Slovenia,2022,7.9,2533.5
Annual,Thousand persons,Females,Slovenia,2023,6.4,2580.0
Annual,Thousand persons,Females,Slovenia,2024,8.3,2518.5
Annual,Thousand persons,Females,Slovakia,2004,20.2,1976.5
Annual,Thousand persons,Females,Slovakia,2005,21.6,1884.0
Annual,Thousand persons,Females,Slovakia,2006,26.2,1692.0
Annual,Thousand persons,Females,Slovakia,2007,29.1,1607.0
Annual,Thousand persons,Females,Slovakia,2008,28.2,1631.0
Annual,Thousand persons,Females,Slovakia,2009,27.1,1659.5
Annual,Thousand persons,Females,Slovakia,2010,29.6,1593.0
Annual,Thousand persons,Females,Slovakia,2011,11.1,2435.5
Annual,Thousand persons,Females,Slovakia,2012,7.9,2533.5
Annual,Thousand persons,Females,Slovakia,2013,5.4,2614.0
Annual,Thousand persons,Females,Slovakia,2014,8.0,2527.5
Annual,Thousand persons,Females,Slovakia,2015,8.2,2521.0
Annual,Thousand persons,Females,Slovakia,2016,7.1,2560.0
Annual,Thousand persons,Females,Slovakia,2017,10.3,2455.0
Annual,Thousand persons,Females,Slovakia,2018,10.8,2442.0
Annual,Thousand persons,Females,Slovakia,2019,13.5,2378.5
Annual,Thousand persons,Females,Slovakia,2020,16.9,2195.0
Annual,Thousand persons,Females,Slovakia,2021,16.5,2224.5
Annual,Thousand persons,Females,Slovakia,2022,16.8,2201.0
Annual,Thousand persons,Females,Slovakia,2023,19.3,2037.0
Annual,Thousand persons,Females,Slovakia,2024,21.0,1921.0
Annual,Thousand persons,Females,Finland,2004,29.8,1587.5
Annual,Thousand persons,Females,Finland,2005,32.6,1522.5
Annual,Thousand persons,Females,Finland,2006,31.7,1545.5
Annual,Thousand persons,Females,Finland,2007,33.0,1515.0
Annual,Thousand persons,Females,Finland,2008,33.5,1503.5
Annual,Thousand persons,Females,Finland,2009,33.5,1503.5
Annual,Thousand persons,Females,Finland,2010,33.4,1508.0
Annual,Thousand persons,Females,Finland,2011,27.0,1665.5
Annual,Thousand persons,Females,Finland,2012,30.3,1575.5
Annual,Thousand persons,Females,Finland,2013,32.3,1531.5
Annual,Thousand persons,Females,Finland,2014,31.8,1543.0
Annual,Thousand persons,Females,Finland,2015,34.7,1483.0
Annual,Thousand persons,Females,Finland,2016,33.8,1497.0
Annual,Thousand persons,Females,Finland,2017,33.9,1493.0
Annual,Thousand persons,Females,Finland,2018,33.7,1500.0
Annual,Thousand persons,Females,Finland,2019,36.8,1463.5
Annual,Thousand persons,Females,Finland,2020,44.7,1406.5
Annual,Thousand persons,Females,Finland,2021,45.0,1402.5
Annual,Thousand persons,Females,Finland,2022,47.2,1384.5
Annual,Thousand persons,Females,Finland,2023,44.6,1409.0
Annual,Thousand persons,Females,Finland,2024,45.6,1396.0
Annual,Thousand persons,Females,Sweden,2004,51.9,1351.0
Annual,Thousand persons,Females,Sweden,2005,56.9,1309.5
Annual,Thousand persons,Females,Sweden,2006,57.9,1304.0
Annual,Thousand persons,Females,Sweden,2007,59.4,1293.5
Annual,Thousand persons,Females,Sweden,2008,61.3,1281.0
Annual,Thousand persons,Females,Sweden,2009,60.7,1285.0
Annual,Thousand persons,Females,Sweden,2010,60.2,1289.0
Annual,Thousand persons,Females,Sweden,2011,49.1,1365.0
Annual,Thousand persons,Females,Sweden,2012,52.3,1346.0
Annual,Thousand persons,Females,Sweden,2013,52.4,1344.0
Annual,Thousand persons,Females,Sweden,2014,53.0,1339.5
Annual,Thousand persons,Females,Sweden,2015,55.6,1320.0
Annual,Thousand persons,Females,Sweden,2016,64.7,1259.0
Annual,Thousand persons,Females,Sweden,2017,69.6,1200.0
Annual,Thousand persons,Females,Sweden,2018,72.4,1160.5
Annual,Thousand persons,Females,Sweden,2019,73.8,1139.5
Annual,Thousand persons,Females,Sweden,2020,80.9,861.0
Annual,Thousand persons,Females,Sweden,2021,88.5,560.5
Annual,Thousand persons,Females,Sweden,2022,102.9,479.5
Annual,Thousand persons,Females,Sweden,2023,104.3,474.0
Annual,Thousand persons,Females,Sweden,2024,108.3,458.5
Annual,Thousand persons,Females,Iceland,2011,1.0,2727.0
Annual,Thousand persons,Females,Iceland,2012,1.1,2723.0
Annual,Thousand persons,Females,Iceland,2013,1.2,2719.5
Annual,Thousand persons,Females,Iceland,2014,1.5,2705.5
Annual,Thousand persons,Females,Iceland,2015,1.9,2684.0
Annual,Thousand persons,Females,Iceland,2016,1.9,2684.0
Annual,Thousand persons,Females,Iceland,2017,1.6,2700.5
Annual,Thousand persons,Females,Iceland,2018,1.5,2705.5
Annual,Thousand persons,Females,Iceland,2019,1.7,2696.0
Annual,Thousand persons,Females,Iceland,2020,1.9,2684.0
Annual,Thousand persons,Females,Iceland,2021,1.9,2684.0
Annual,Thousand persons,Females,Iceland,2022,1.8,2691.0
Annual,Thousand persons,Females,Iceland,2023,1.9,2684.0
Annual,Thousand persons,Females,Iceland,2024,1.8,2691.0
Annual,Thousand persons,Females,Norway,2011,18.4,2101.5
Annual,Thousand persons,Females,Norway,2012,18.3,2105.5
Annual,Thousand persons,Females,Norway,2013,18.9,2075.5
Annual,Thousand persons,Females,Norway,2014,19.7,2005.0
Annual,Thousand persons,Females,Norway,2015,22.2,1856.0
Annual,Thousand persons,Females,Norway,2016,19.3,2037.0
Annual,Thousand persons,Females,Norway,2017,22.8,1823.0
Annual,Thousand persons,Females,Norway,2018,27.0,1665.5
Annual,Thousand persons,Females,Norway,2019,26.0,1698.5
Annual,Thousand persons,Females,Norway,2020,26.4,1685.5
Annual,Thousand persons,Females,Norway,2021,28.6,1618.5
Annual,Thousand persons,Females,Norway,2022,29.2,1603.5
Annual,Thousand persons,Females,Norway,2023,33.4,1508.0
Annual,Thousand persons,Females,Norway,2024,34.0,1490.5
Annual,Thousand persons,Females,Switzerland,2011,23.1,1807.5
Annual,Thousand persons,Females,Switzerland,2012,27.2,1656.5
Annual,Thousand persons,Females,Switzerland,2013,29.5,1595.5
Annual,Thousand persons,Females,Switzerland,2014,29.6,1593.0
Annual,Thousand persons,Females,Switzerland,2015,30.5,1571.0
Annual,Thousand persons,Females,Switzerland,2016,34.1,1488.0
Annual,Thousand persons,Females,Switzerland,2017,33.9,1493.0
Annual,Thousand persons,Females,Switzerland,2018,33.9,1493.0
Annual,Thousand persons,Females,Switzerland,2019,42.5,1424.5
Annual,Thousand persons,Females,Switzerland,2020,41.6,1431.0
Annual,Thousand persons,Females,Switzerland,2021,42.0,1429.5
Annual,Thousand persons,Females,Switzerland,2022,42.9,1421.0
Annual,Thousand persons,Females,Switzerland,2023,45.2,1398.5
Annual,Thousand persons,Females,Switzerland,2024,49.4,1361.5
Annual,Thousand persons,Females,United Kingdom,2011,251.6,221.5
Annual,Thousand persons,Females,United Kingdom,2012,253.5,220.0
Annual,Thousand persons,Females,United Kingdom,2013,236.5,229.0
Annual,Thousand persons,Females,United Kingdom,2014,251.6,221.5
Annual,Thousand persons,Females,United Kingdom,2015,283.5,196.0
Annual,Thousand persons,Females,United Kingdom,2016,278.4,202.0
Annual,Thousand persons,Females,United Kingdom,2017,292.2,190.0
Annual,Thousand persons,Females,United Kingdom,2018,299.0,188.0
Annual,Thousand persons,Females,United Kingdom,2019,313.5,179.0
Annual,Thousand persons,Females,Bosnia and Herzegovina,2021,3.1,2655.5
Annual,Thousand persons,Females,Bosnia and Herzegovina,2022,4.8,2624.5
Annual,Thousand persons,Females,Bosnia and Herzegovina,2023,4.7,2627.0
Annual,Thousand persons,Females,Bosnia and Herzegovina,2024,5.6,2609.0
Annual,Thousand persons,Females,Montenegro,2012,1.3,2714.0
Annual,Thousand persons,Females,Montenegro,2013,1.2,2719.5
Annual,Thousand persons,Females,Montenegro,2017,1.7,2696.0
Annual,Thousand persons,Females,Montenegro,2018,1.3,2714.0
Annual,Thousand persons,Females,North Macedonia,2011,2.1,2673.0
Annual,Thousand persons,Females,North Macedonia,2012,2.1,2673.0
Annual,Thousand persons,Females,North Macedonia,2013,2.5,2665.0
Annual,Thousand persons,Females,North Macedonia,2014,3.1,2655.5
Annual,Thousand persons,Females,North Macedonia,2015,2.8,2660.0
Annual,Thousand persons,Females,North Macedonia,2016,3.6,2649.0
Annual,Thousand persons,Females,North Macedonia,2017,3.3,2652.5
Annual,Thousand persons,Females,North Macedonia,2018,3.0,2657.0
Annual,Thousand persons,Females,North Macedonia,2019,3.8,2647.0
Annual,Thousand persons,Females,North Macedonia,2020,4.3,2638.0
Annual,Thousand persons,Females,Serbia,2013,8.0,2527.5
Annual,Thousand persons,Females,Serbia,2014,7.5,2547.0
Annual,Thousand persons,Females,Serbia,2015,9.8,2470.5
Annual,Thousand persons,Females,Serbia,2016,12.9,2399.5
Annual,Thousand persons,Females,Serbia,2017,14.3,2338.5
Annual,Thousand persons,Females,Serbia,2018,13.2,2393.0
Annual,Thousand persons,Females,Serbia,2019,16.1,2246.5
Annual,Thousand persons,Females,Serbia,2020,19.8,2000.0
Annual,Thousand persons,Females,Serbia,2021,23.5,1788.0
Annual,Thousand persons,Females,Serbia,2022,24.1,1754.0
Annual,Thousand persons,Females,Serbia,2023,26.9,1670.5
Annual,Thousand persons,Females,Serbia,2024,27.7,1641.5
Annual,Thousand persons,Females,Türkiye,2011,33.5,1503.5
Annual,Thousand persons,Females,Türkiye,2012,40.0,1440.5
Annual,Thousand persons,Females,Türkiye,2013,42.6,1423.0
Annual,Thousand persons,Females,Türkiye,2014,45.1,1400.5
Annual,Thousand persons,Females,Türkiye,2015,45.9,1394.5
Annual,Thousand persons,Females,Türkiye,2016,44.1,1414.5
Annual,Thousand persons,Females,Türkiye,2017,47.1,1386.0
Annual,Thousand persons,Females,Türkiye,2018,52.0,1349.0
Annual,Thousand persons,Females,Türkiye,2019,48.6,1370.5
Annual,Thousand persons,Females,Türkiye,2020,62.4,1273.0
Annual,Thousand persons,Females,Türkiye,2021,69.3,1206.0
Annual,Thousand persons,Females,Türkiye,2022,92.8,520.0
Annual,Thousand persons,Females,Türkiye,2023,98.8,504.0
Annual,Thousand persons,Females,Türkiye,2024,107.2,461.5
Annual,Percentage,Males,European Union - 27 countries (from 2020),2004,76.8,1064.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2005,77.1,1051.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2006,76.9,1060.5
Annual,Percentage,Males,European Union - 27 countries (from 2020),2007,76.9,1060.5
Annual,Percentage,Males,European Union - 27 countries (from 2020),2008,76.9,1060.5
Annual,Percentage,Males,European Union - 27 countries (from 2020),2009,77.1,1051.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2010,77.5,1032.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2011,83.1,736.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2012,83.0,742.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2013,83.3,727.5
Annual,Percentage,Males,European Union - 27 countries (from 2020),2014,83.8,699.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2015,83.5,713.5
Annual,Percentage,Males,European Union - 27 countries (from 2020),2016,83.0,742.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2017,82.8,759.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2018,82.8,759.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2019,82.2,789.5
Annual,Percentage,Males,European Union - 27 countries (from 2020),2020,81.6,821.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2021,80.9,861.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2022,81.1,843.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),2023,80.6,882.5
Annual,Percentage,Males,European Union - 27 countries (from 2020),2024,80.5,891.5
Annual,Percentage,Males,Belgium,2004,84.9,654.0
Annual,Percentage,Males,Belgium,2005,81.9,810.5
Annual,Percentage,Males,Belgium,2006,82.8,759.0
Annual,Percentage,Males,Belgium,2007,81.3,834.5
Annual,Percentage,Males,Belgium,2008,82.7,767.5
Annual,Percentage,Males,Belgium,2009,81.7,818.0
Annual,Percentage,Males,Belgium,2010,80.9,861.0
Annual,Percentage,Males,Belgium,2011,83.4,721.0
Annual,Percentage,Males,Belgium,2012,82.9,749.0
Annual,Percentage,Males,Belgium,2013,84.5,670.5
Annual,Percentage,Males,Belgium,2014,84.8,660.5
Annual,Percentage,Males,Belgium,2015,84.9,654.0
Annual,Percentage,Males,Belgium,2016,85.9,615.5
Annual,Percentage,Males,Belgium,2017,84.4,677.0
Annual,Percentage,Males,Belgium,2018,83.2,731.5
Annual,Percentage,Males,Belgium,2019,82.8,759.0
Annual,Percentage,Males,Belgium,2020,82.6,772.0
Annual,Percentage,Males,Belgium,2021,80.4,898.5
Annual,Percentage,Males,Belgium,2022,81.3,834.5
Annual,Percentage,Males,Belgium,2023,80.6,882.5
Annual,Percentage,Males,Belgium,2024,81.0,850.5
Annual,Percentage,Males,Bulgaria,2004,73.7,1143.0
Annual,Percentage,Males,Bulgaria,2005,73.6,1145.0
Annual,Percentage,Males,Bulgaria,2006,71.8,1168.0
Annual,Percentage,Males,Bulgaria,2007,71.1,1180.0
Annual,Percentage,Males,Bulgaria,2008,68.7,1213.0
Annual,Percentage,Males,Bulgaria,2009,69.4,1202.5
Annual,Percentage,Males,Bulgaria,2010,68.9,1210.0
Annual,Percentage,Males,Bulgaria,2011,66.8,1241.0
Annual,Percentage,Males,Bulgaria,2012,67.5,1229.5
Annual,Percentage,Males,Bulgaria,2013,70.1,1195.0
Annual,Percentage,Males,Bulgaria,2014,68.2,1218.0
Annual,Percentage,Males,Bulgaria,2015,68.9,1210.0
Annual,Percentage,Males,Bulgaria,2016,70.8,1184.0
Annual,Percentage,Males,Bulgaria,2017,70.7,1185.5
Annual,Percentage,Males,Bulgaria,2018,69.8,1197.5
Annual,Percentage,Males,Bulgaria,2019,71.7,1170.5
Annual,Percentage,Males,Bulgaria,2020,71.6,1172.5
Annual,Percentage,Males,Bulgaria,2021,71.8,1168.0
Annual,Percentage,Males,Bulgaria,2022,71.1,1180.0
Annual,Percentage,Males,Bulgaria,2023,70.9,1183.0
Annual,Percentage,Males,Bulgaria,2024,73.0,1153.5
Annual,Percentage,Males,Czechia,2004,73.5,1146.5
Annual,Percentage,Males,Czechia,2005,71.7,1170.5
Annual,Percentage,Males,Czechia,2006,71.1,1180.0
Annual,Percentage,Males,Czechia,2007,71.4,1175.5
Annual,Percentage,Males,Czechia,2008,72.2,1164.0
Annual,Percentage,Males,Czechia,2009,76.5,1073.0
Annual,Percentage,Males,Czechia,2010,78.7,983.5
Annual,Percentage,Males,Czechia,2011,89.3,553.0
Annual,Percentage,Males,Czechia,2012,89.0,557.0
Annual,Percentage,Males,Czechia,2013,89.4,551.0
Annual,Percentage,Males,Czechia,2014,90.1,539.0
Annual,Percentage,Males,Czechia,2015,90.2,537.5
Annual,Percentage,Males,Czechia,2016,90.0,540.5
Annual,Percentage,Males,Czechia,2017,89.9,542.5
Annual,Percentage,Males,Czechia,2018,90.3,535.5
Annual,Percentage,Males,Czechia,2019,89.8,544.0
Annual,Percentage,Males,Czechia,2020,89.7,545.0
Annual,Percentage,Males,Czechia,2021,90.0,540.5
Annual,Percentage,Males,Czechia,2022,89.1,556.0
Annual,Percentage,Males,Czechia,2023,87.6,571.5
Annual,Percentage,Males,Czechia,2024,87.0,581.0
Annual,Percentage,Males,Denmark,2004,77.0,1055.5
Annual,Percentage,Males,Denmark,2005,77.2,1047.5
Annual,Percentage,Males,Denmark,2006,77.9,1017.5
Annual,Percentage,Males,Denmark,2007,75.1,1118.0
Annual,Percentage,Males,Denmark,2008,77.4,1036.5
Annual,Percentage,Males,Denmark,2009,77.6,1028.0
